,Unnamed: 0,reviews,aircraft,Type of Traveler,Seat Type,Route,Date,Recommend
10,10,several delays canceled flights finally made copenhagen american airlines british airways flights luggage destroyed wheels torn buy new luggage denmark made claim british airways reimburse didn’t receipt old luggage would cover 50 new luggage advice receipts old luggage prior flying don’t get ripped like,Null,Couple Leisure,Economy Class,London to Copenhagen,Apr-23,no
11,11,literally worst flight life booking tickets together partner separated ‘sorry flight full’ flight took 45 minutes late apology trolley service took two hours periodically skipped rows response flippant rude ‘whoops sure happened want’ genuinely appalling beginning end might well fly easy jet least charge price commensurate poor quality service like ba,Null,Couple Leisure,Economy Class,London to Malta,Apr-23,no
12,12,swore would never fly ba messed much trying get budapest times flights suited decided give another go flight left time cabin clean staff friendly even complimentary teacoffee breakfast bar economy flight pleasant enough cant think negatives write flight service certainly head shoulders trip easyjet,A319,Couple Leisure,Economy Class,Belfast to London,Apr-23,yes
13,13,obviously many airlines gone downhill recent years prices increased services gone disappointing thing ba aspects really don’t need get worse check staff heathrow downright rude abusive shouting passengers line rolling eyes passengers get confused constant shouting bullying airlines competing globally behaviour particularly noticeable asia service industry next level wouldn’t want suggest staff like many younger employees polite helpful however couple older staff downright rude obnoxious,Boeing 787,Business,Premium Economy,London to Hong Kong,Apr-23,no
14,14,lost 3 4 checked bags denied wheelchair assistance lhr wife staff forced us change terminals foot rude staff ba297 lhr ord april 05 2023 ignored multiple times simply requested cup water walked couple attempts request water politely ba staff onboard yelled wife asked go back seat horrible flight disappointing staff customer service terrible online checkin never worked ba never verified covid documents uploaded advance resulting wife seated separately i’ve lost respect british airways disgusted,Null,Family Leisure,Economy Class,Mumbai to Chicago via London,Apr-23,no
15,15,flown ba many years time 10 years ago getting better sadly trip underlines slipped versus airlines booking time one scammed extortionate amount book seat heathrow t5 check queues unbelievably long staff bag drop curt say least lounges remain awful overcrowded ba invested many years flight food okay although portions kept minimal one days crew could give damn service mostly absent entire flight next time change ceo better recruiting aa second rate budget irish airline,Boeing 777,Business,Business Class,London to New York,Apr-23,no
16,16,boarding mumbai chaotic badly organised board crew announcements professional relaxed informative typical ba style seat quite comfortable refurbished aircraft padding materials quite good lucky middle seat empty didn’t suffer new narrow seat think would made lot less comfortable ife excellent responsive good quality enormous selection tv movies good number games wifi also good quite netflix quality still reasonable don’t think £1799 full flight bad value pay less want short term simple messaging cabin crew good friendly efficient catering reasonable although near 10hr flight small tasty pastry second meal service wasn’t really enough landing processing heathrow astonishingly quick felt like 3am even though 630pm queues waiting even baggage super quick coming overall solid experience economy significantly better used,Boeing 777-200,Solo Leisure,Economy Class,Mumbai to London,Mar-23,yes
17,17,verified mexico city airport zoo taking late departure ba lhr isnt bad club passengers use aa admirals lounge surprisingly good busy seems cater bas club passengers time day lovely staff solid food bar really pleasant flew older 787 old style club seats seated front cabin 3 rows club window adjecant aisle seat really good travel partner come think really miss old style cutting edge layout better way fly couple last row front cabin window aisle seat unobstructed access aisle still terrible pay seats obvioulsy works happy getting seats flying ba crew good amazing service impecable flight right mix humor service attention food seemed good well hardly touched fine sleeping old club world seats although bedding could better time departure smooth flight early arrival heathrow went outside smoke returned terminal fast track security lhr always terrible today security staff busy chatting among bags went without secundary checks lovely shower spa fabulous facility south lounge crazy busy design disaster ever choose bizarre combination furniture mess food offer solid drinks home stretch amsterdam pretty straight forward lousy welcome door crew recovered well made everyone feel special excellent barcart service love doubleservings drinks english tea worst meal concepts world really dont understand ba stuck years noone like cucumber white bread things hey time landing amsterdam usual long taxi clumsy jet bridge connection ended 20 minute late arrival hard connect jetbridge amsterdam flying club ba still wonderful love,Boeing 787 / A320,Couple Leisure,Business Class,Mexico City to Amsterdam via London,Mar-23,yes
18,18,poor service frustrating firstly flight lhr cancelled 16 mar23 got text message inform information desk unable confirm correct scam confirmed went counter get new boarding pass counter informed coach leaving 15mins hotel fellow travelers waited 45mins one coach stand guide us answer questions transfer hotel 30 mins away airport got hotel around 1015pm staff informed dinner closes 1030 rush appeared motel hotel room smelling weed nonsmoker uncomfortable although wanted compromise rest went wash face tap sink came hands panicked asked reception staff change room discussion agreed change went alternate room horror occupied asked staff call cab left,Null,Business,Economy Class,Barcelona to London,Mar-23,no
19,19,generally poor sent gate time sat maybe 30 minutes announced crew familiar a321 would delay clearly nonsense retraction board statement watched crew walk gate impression want given miniscule amount water small bag pretzels announced would wait cabin service card processing machines us updates sight crew next two hours attempted charge us even glass water said complimentary girl said problem walked away,A321,Couple Leisure,Economy Class,London to Lanzarote,Mar-23,no
20,20,ba changed prepaid seats last minute charged us select new seats flight took late cabin crew served tiny packet pretzels arrived heathrow late put remote stand loaded onto buses terminal held transit security clown member staff allowed 15 passengers time trial queued security 20 minutes,Null,Couple Leisure,Economy Class,Marrakech to London Heathrow,Mar-23,no
21,21,flew london heathrow marrakech ba changed pre paid seats last minute even charged us select seats boarding chaos staff rude demanding selected passengers put hand luggage hold one small bag however never demanded passengers 23 bags hand luggage obviously big flight late taking snack miserable tiny packet cheese pretzels airline going downhill rapidly,Null,Couple Leisure,Economy Class,London Heathrow to Marrakech,Mar-23,no
22,22,meant fly january algeria paid £300 ticket days meant fly wife broke foot rebook march pay another £100 called british airways 3 weeks flight march told rebooked wife still well told don’t pay anything get rebooked sent letter hospital saying wife wasn’t well however never sent ticket made wait nearly 4 weeks asked pay either £316 top £450 paid previously second option gave get refund £80 tax found ridiculous told pay fraction money previously paid time call hang continue telling pay £360 made complaint nothing happened,Null,Family Leisure,Economy Class,London to Algiers,May-22,no
23,23,flown repeatedly british airways one world alliance last weeks every flight delayed back airport miami another massive delay miss connecting flight finally luggage arrived puerto rico 3day delay reschedule round trip havent received information luggage day luckily checked airport last delayed flight meant cabin crew miss connecting flights plane cant anything wir sind den letzten wochen immer wieder mit britisch airways und dem one world zusammenschluss geflogen jeder flug war verspätet nun sitzen wir wieder miami flughafen und haben schon wieder eine massive verspätung sodass wir unseren anschlussflug verpassen werden zuletzt ist auch unser gepäck mit 3 tagen verspätung puerto rico angekommen und wir mussten unseren rundreise umplanen… wir haben bis heute noch keine info über unser gepäck erhalten zum glück haben wir selbst flughafen nachgesehen und es war da… beim letzten verpspäteten flug meinte die kabinen crew dass auch sie ihre anschlussflüge verpassen und wir im selben flugzeug sitzen und sie können nichts machen,Null,Couple Leisure,Economy Class,Miami to Munich via London,Mar-23,yes
24,24,horrified extremely small seats poor training crew clearly receives one exuded kind warmth expressed desire make journey pleasant seats narrow regardless size neighbors forced touch constantly seat front reclined choice recline else breathing head scalp person front food revolting dont even provide napkins unless ask premeal drinks secondary meal last time flew ba completely experience sorry see far quality level slid really majorly disappointing regret already purchased 2 intercontinental trips company see change pathetic 250 ml bottle water sip shorter flights seats couldnt even reclined great pity since flight delayed almost 3 hours wait board,Null,Business,Economy Class,New York to London,Mar-23,no
25,25,worst cabin experience ever cramped seats low cost style uncomfortable could suit short flights 5 hours service catering also shame 250ml water chocolate bar 5 hours service never fly ba,A321Neo,Couple Leisure,Economy Class,Cairo to London,Mar-23,no
26,26,first time flying british airways first time flying americas india via london heathrow chose premium economy reasonable price quite comfortable however first leg flight mumbai heathrow plane bit outdated foot rest second leg heathrow nassau plane brand new premium economy seat pop leg support much comfortable cabin service fine appreciated didnt come cabin often everyone sleeping meals werent great honest landing heathrow wait tarmac 45 minutes waiting open gate connection less hour long ba staff heathrow airport helped move security quickly made time spare next flight arrived nassau found luggage didnt make due short connection time london ba baggage representative nassau extremely professional took claim luggage arrived next ba flight days later british airways nassau representative delivered charter airline shipped island staying impressive efficient,Boeing 777,Solo Leisure,Premium Economy,Mumbai to Nassau via London,Mar-23,yes
27,27,latest affront stood first class line hour finally go front ba agent let 4 supposed vips 1214 large tobechecked bags front us arrogant unapologetic add long list postcovid disappointments done ba,A380,Couple Leisure,First Class,Johannesburg to London,Mar-23,no
28,28,booked flight return flight london munich 311 317 december return flight cancelled rebooked 317 312 british airways notified first change second getting flight reinstated took multiple phone calls occasions time needing find helpful representative british airway employees told even though cancelled flight refund ticket tried charge 800 change fee repeatedly calling back british airways reinstated 317 flight 220 36 make sure get changed checked status ticket daily 312 315 intact days 316 time checkin flight gone airport staff british airways checkin counter ba employees cannot help resolve problems ba representative munich airport confirmation documentation british airways value left stranded airport,Null,Solo Leisure,Economy Class,Munich to London Heathrow,Mar-23,no
29,29,tried check line informed possible given reason telephoned ba customer service must wasted nearly 2 hours given wrong phone numbers incorrect information staff need customer training better knowledge product manners ba customer service virtually non existent never fly,Null,Couple Leisure,Economy Class,Amsterdam to London,Mar-23,no
30,30,catalogue failures flew belfast heathrow week ago flight delayed three half hours missed onward air canada flight calgary result arriving calgary rerouting via vancouver added 6 hours journey met passengers also missed air canada flight british airways flight manchester also delayed several hours way home find heathrow belfast flight already cancelled put back 2 hours delayed another 2 hours avoid british airways like plague,Null,Couple Leisure,Economy Class,Heathrow to Belfast City,Mar-23,no
31,31,flight dubrovnik painful time 630 morning london gatwick easy airport get hour especially airport minimum 2hrs ready board understand likes easyjet ryanair wizzair fly odd times utilise cheaper slots airports seems odd choice ba given people like us fly choose based quality price alone outbound lgwdbv boarding fairly quick easy efficient took time pilot announcements clear professional inspired confidence something appreciate expect ba pilots aircraft clean recent refurbishment program yet advantage pinnacle seats economy still padding adjustable winged headrests better comfort complimentary harrogate mineral water given usual premium touch complimentary snack nutrigain bar poor premium however cabin crew felt unpolished presentation behaviour messy illfitting uniforms unclassy makeup toilets clean maintained appreciate antibacterial wipes kept available postcovid inbound dbvlgw reason online app checkin available despite dubrovnik airport modern airport state art facilities queue manual checkin though ground staff warm friendly helpful proactively offered take larger handluggage hold free charge decided keep us would dash train home airport trains end cancelled already understand delay flight inbound flight day took time landed time also travelled dubrovnik season airport empty hour services available solely flight taking evening passengers terminal time including us take flight boarded time sat gate 15 minutes reason truly bizarre ba managed take late services airport operating live solely purpose enabling flight take pilots flight unpolished unclear announcements flight one couldnt even remember flying back apology delay cabin crew bit smarter presented seemed approachable harrogate water given worlds tiniest bag pretzels complimentary seats flight horrendous new slimline ones ba installing row 14 onwards seats barely padding hard also headrests hard get comfortable landed 55 minutes late gatwick apology given lucky catch last uncanceled train home otherwise wed stranded hours wed spent half hour circling gatwick missed original landing slot given 7 context shorthaul market thats deserve fly ba dont fly lowcost carriers many bad experiences measure good least bad option given 1 point extra solely giving something complimentary onboard,A320,Couple Leisure,Economy Class,Gatwick to Dubrovnik,Mar-23,yes
32,32,could give minus rating would supposed lhrams 1405 13th march get lhr 1200 email say flight cancelled one able help lhr said use app halfway sensible option lcyams 1705 taxi trains lhr working ok bas fault get lcy showing cancelled screen check app rebook via app 1530 departure go desk drop bag told standby flight guarantee seat despite app telling confirmed 1835 ams already overbooked moved onto 1930 flight rotterdam 1530 1835 cancelled anyway happened eventually took best thing say landed intact return amslhr similar story arrive ams screen shows 2100 cancelled quickly check app confirmed emails texts nothing rebooked via app 2200 departure could worse desk agent helpfully printed boarding card app unable issue anything rebooked flight overall dreadful dont care hide behind apps automated call centres avoid unless option even stop consider really need go,Null,Business,Economy Class,London Heathrow to Amsterdam,Mar-23,no
33,33,plane hour late leaving problem happen arrival heathrow plane sits runway 45 minutes free stand go stand waited another 45 minutes bridge available enable us get plane pathetically inefficient,Null,Solo Leisure,Economy Class,Zagreb to London Heathrow,Mar-23,no
34,34,flying world traveller plus premium service premium travelled many airlines lucky enough fly premium times bas premium worst come across flight heathrow jfk ok flight back plane used old dirty uncomfortable two broken seats four one would recline one reclined without using button ba needs look premium service offer exactly instead trying cut costs fallen far behind competitors preferred airline try avoid costs would rather pay fly someone else,Null,Couple Leisure,Premium Economy,New York JFK to Heathrow,Mar-23,no
35,35,literally one worst experiences haven’t airport since began orlando flying back flight plan system went stuck tarmac 6 hours poor customer service ignored times missed connecting flight told leave baggage area without bags even though booked dublin another 4 hours told bags lost continue desk book flight another hour later handed card number told ring cut three times told wouldn’t able get home day despite several flights available booked flight lost suit presents christmas missed engagement party,Null,Solo Leisure,Economy Class,Dublin to Orlando via Heathrow,Dec-22,no
36,36,usual shambolic unfolding ba unfortunately come known long weekend flight booked munich supposed departing 9th february 1955 happened first flight newborn 3 month old daughter turned horror show incompetence 3hrs scheduled departure original 9th february flight cancelled received email boarding heathrow express i’d booked day holiday work trip ended getting round trip paddington instead way back cancelled flight wife tried calling ba despite one us silver membership possibly largest joke membership currently took us nearly 45 minutes speak someone could help believe ba outsource call centres end talking people following script result might well speaking ai rather human often received response similar ‘computer says no’ service level silver members can’t imagine regular punter put phone originally connected person wait 5 minutes computer booted ba proceeded autobook us onto new flight next day going different destination original flight munich autobooked replacement flight salzburg asking robot ba call centre booked us replacement flight location 135km apart couldn’t understand frustration eventually someone able book us onto flight following day 1700 ideal i’d wasted valuable day work hotel wouldn’t refund us move booking least going munich salzburg day new flight came round time managed get way check desk upon arriving check desk told rebooked flight cancelled 4 minutes earlier email text notification ever arrived ba tell us flight cancelled incomprehensible could possibly happened check person said get app rebook point didn’t know whether explode anger cry luckily another check person ounce sympathy explained useless check person could actually rebook us booked onto another flight later evening 1955 ba0958 unfortunately meant 5hrs grotty lounge 3 month old baby appears everyone access lounge there’s really difference lounge hostel get free stuff former pleasant experience eventually arrive munich despite asking didn’t get push chairstroller delivered front plane plane characteristically ba dumping ground used give sanitising wipes could clean seat tray table seemed cut back service another shocking ba service lost day holiday ounce empathysympathyunderstanding employees interacted,Null,Family Leisure,Economy Class,London Heathrow to Munich,Mar-23,no
37,37,lost case took 6 weeks locate still replied 8 weeks business class flight scheduled dec 12 2022 … manchester copenhagen bangkok return flight dec 27 2022 … bangkok stockholm manchester sas airlines left manchester hour late due weather air traffic control arrived copenhagen get connecting flight bangkok 10 minutes late flight gone half plane missed sas airlines provided new itinerary day … copenhagen sas london ba dubai emirates bangkok returned copenhagen london collected boarding pass ba 2 hours late leaving london due weather passenger asked leave flight arrived dubai late informed flight gone emirates informed speak thai air get another flight issued spent hour phoning thai air nobody picking phone spoke thai air dubai informed alternative flights suggested buy new ticket claim funds back later paid £127943 kuwait airways flight dubai kuwaiti bangkok whilst dubai checked kuwait airlines regards baggage informed arrived london would locate forward bangkok address following day baggage never arrived despite completing lost baggage forms arrived back home yesterday informed ba found bag london,Null,Business,Business Class,London to Dubai,Dec-22,no
38,38,incoming outgoing flight delayed french air traffic controllers strike routed germany bas fault arrival pilot announced could pull onto stand ground crew showed turn automatic last metre guidance took around 40 minutes find someone done delay ground staff operate skybridge told trapped plane hour within metres gate total disruption wasted time absolutely excuse,A320,Solo Leisure,Economy Class,Geneva to London,Mar-23,no
39,39,back december family getting onto plane refused even though boarding passes seats allocated booked 6 months advance refused turns someone turned work couldnt let passengers plane quite randomly 9 people selected turned away selected check luggage easier boot us despite knowing circumstances connecting flights london etc sought compensation ba told could absolute nightmare process wouldnt acknowledge complaint family authorisation letter saying could act behalf even though booked paid tickets uploaded authorisation letter less 10 times every time told received every time followed told hadnt way except post australia uk office eventually finally go chased reimbursement four times time tell sent patient today tell need check account details send information done wait patiently reimbursement convinced business model get frustrated go away well know wont,Null,Family Leisure,Economy Class,Prague to London,Dec-22,no
40,40,usual flight delayed week already 3 hours i’m held bus waiting get taken plane really can’t explain much detest british airways cheap budget airline could accept it’s premium prices unreliable service,Null,Business,Economy Class,Heathrow to Glasgow,Mar-23,no
41,41,short ba euro trip ba excel clean aircraft good crew professional time within lhr standards good value product delivered pity flight food sales bit exciting appealing asked non existent hot food options good overall check self service great know use plenty assistance hand can’t,A321,Business,Economy Class,London Heathrow to Arlanda Stockholm,Mar-23,yes
42,42,flying business class flight premium economy balance addition plane tickets paid additional 225pp seats ba changing planes arbitrarily put us separate seating areas wife sitting together want charge one us additional reseated next moved seats away shouldnt pay change planes decision us sitting together havent even flown yet airline horrible,Null,Couple Leisure,Business Class,Portland to Tel Aviv via Heathrow,Mar-23,no
43,43,australia friday night went online book flight heathrow malpensa milan realise specifically searched flights malpensa offered options airports milan received itinerary email another airport milan itinerary email provide means contact changes advise 24 hour cooling period weekend unable reach office monday advised refund fees missed 24 hour cooling period apparently ticket issued uk needed contact cancelled ticket going way future avoid flying british airways,Null,Solo Leisure,Business Class,Heathrow to Milan Malpensa,Apr-22,no
44,44,754 day travel whilst driving london heathrow received email advising flight cancelled offered alternative flight american airlines alternative accept must travel today flying la see family member end life american airlines desk downgrade cabin premium economy economy tried 3 times ba provide telephone number total useless help given wrong email address sending complains given email ba frequent flyer decades loyal customer find travelling 11 hours economy without even possibility refund let alone upgrade completely unacceptable happened company better treatment ryanair,Null,Solo Leisure,Economy Class,London to Los Angeles,Mar-23,no
45,45,would happily fly personal emergency allowed reschedule flights free charge onboard service lhrist frills jfklhr impeccable good food lots moviescds ife open bar service entire flight friendly flight attendants always happy provide extra drinksnack,Boeing 777 / A320,Solo Leisure,Economy Class,New York to Istanbul via London,Mar-23,yes
46,46,flew premium worth extra money bit extra room penny pinching means there’s benefit one drink service 10 hour flight fizz offered take poor food boarding badly organised food left tables 30 min landing tea coffee offered small cups water passed around nothing “premium” new planes decorated terribly feels like you’re dentist waiting room devoid personality joy fly option fly premium it’s expensive seriously worth much economy days especially you’re middle 4,Null,Couple Leisure,Premium Economy,London Heathrow to Las Vegas,Mar-23,no
47,47,first morning flight cancelled moved afternoon flight understanding sometimes situations unavoidable however lost us one days experience cairo quite upset got onto plane squashed regular seats flights husband spasms stretch legs across lap attendants ask okay clearly struggling service came us food choice made told settle left correct thing home sent complaints responded 100 pound voucher group,A321neo,Business,Business Class,London to Cairo,Jan-23,no
48,48,although bit uncomfortable flight economy flight attendants made flight best possibly could nice professional crew attentive looking customers,Boeing 787,Solo Leisure,Economy Class,London Singapore ,Feb-23,yes
49,49,boarding decently organised a380 still rather strange configuration club world neighbour sitting opposite position a380 nearly full rather poor amenity bag welcome drink ok rather long waiting aperitive made pantry meal ok great aside champagne european wines flight service friendly rather slow spontaneous refills drinks offered acceptable continental style breakfast extremely narrow restrooms without lotions similar acceptable experience nothing landing 50 minutes waiting luggage labelled priority,A380,Business,Business Class,London to Dubai,Feb-23,yes
50,50,boarding time departure time flight london heathrow ok a320 rather narrow seats business light meal caesars salad mousse sweet choice drinks nothing wrong short flight fas friendly landing time,A320,Business,Business Class,Brussels to London,Feb-23,yes
51,51,original flight cancelled 2 weeks actual flight although alternative flights available british airways affected trip planned feels like ba favour passengers rather paid deliver service,Null,Family Leisure,Economy Class,Lyon to London,Feb-23,no
52,52,delayed change poor communication british airways sells premium prices flight tickets delivers better low cost airline customer service impossible contact seems ba tries hard hide possible email communication address available,Null,Family Leisure,Economy Class,London to Lyon,Feb-23,no
53,53,competent check staff saw problem left arm insisted could take exit seat moved row 30 middle seat empty hand board huge line toilets 45 min 230 min flight crew member realised one toilets closed crew put luggage announced could serve hot drinks flight bear service slow asking give us enough cups hot drinks card machine working fill credit card slip bottle water nutrigrain bar,A320,Couple Leisure,Economy Class,Faro to Gatwick ,Feb-23,no
54,54,check slow self check bag drop boarding ok flight totally full booked row 9 ok space overhead bins seat legroom ok cabin crew ok smiled gave bottle water pretzels flight ok landed 25 mins early waited 30 minutes stand ground crew bags came reasonably quickly ba still seems believe something special premium carrier reality reason flew ba got virtually free tickets flights cancelled last year ba carrier last choice,A320,Family Leisure,Economy Class,Oslo to London,Feb-23,no
55,55,review relates appalling experiences british airways 14th february 2023 due travel madrid british airways setting heard radio flight delays looked heathrow airport website saw flight cancelled result information website called british airways 26 minutes hold found speaking somebody call centre south africa person hard understand due heavy accent incompetent insisted flight cancelled made way heathrow sure enough flight indeed cancelled woman question audacity declare flight cancelled “there facilities airport rebook you” refused let 12 people join queue clearly marked assistance desk woman one colleagues gave card telephone number told one rather elderly gentleman “go online rebook seat” visually impaired found attitude ba employee appalling called number card employee gave long queue call centre person picked phone kept waiting 22 minutes declared flight cancelled airport “must wrong” flippant tone said informed flight indeed cancelled would go speak iberia customer services heathrow rebook took elderly gentleman iberia counter staff member rolled eyes disgust said nothing iberia returned ba time joined checkin line told checkin agent happened man question booked onto next available flight within matter minutes gave £30 voucher form compensation said could add frequent flyer number partner airline voucher proved useless afraid various shops predepature area refused accept although told could use clearing security none shops would accept aboard new flight service minimal tiny bottle water packet pretzels nothing else available full flight many people transferred cancelled flight ba cabin crew announced additional items small bottle water pretzels ordered via skyshop,A320,Solo Leisure,Economy Class,London to Madrid,Feb-23,no
56,56,first time flying ba pleasantly surprised islamabad via doha comfortable crew great friendly helpful second flight operated qatar airways doha islamabad return journey direct ba flight 46kg luggage allowance really generous stopped hassle connecting flights crew flight really nice let ba food really nice ife could content thats really huge issue,Null,Couple Leisure,Economy Class,Islamabad to London,Feb-23,yes
57,57,lots cancellations delays one apologized edinburgh london feb 14th 2023 original flight cancelled rebooked one cancelled well third rebooked one supposed departure 1250 several delays 224 wait 57 minutes luggage arrive,Null,Couple Leisure,Economy Class,Edinburgh to London,Feb-23,no
58,58,ba 242 6223 boarding delayed due late arrival incoming flight communication ground staff excellent keep us informed flight services excellent crews friendly excellent service overall happy ba,Boeing 787-9,Couple Leisure,Business Class,Mexico City to London,Feb-23,yes
59,59,first flight 17 years also first time back england 17 years flew pmilgw 21012023 returned 29012023 wizz air easyjet offered inconvenient flight times charged flights worth baggage british airways convenient best value option available offered ideal flight times €18 charge per flight baggage reasonable total cost flights €126 regular update information via email seamless online seat allocation check efficient staff check desks pmi lgw ensured long queues dealt quickly humanly possible immaculate aircraft comfortable leather seats adequate legroom im 64 tall cabin crew polite friendly professional flight food drinks good quality reasonably priced enjoyed meat ploughmans ipa beer €10 total flights flown 80 times last 50 years different airlines various propeller jet aircraft well one lgwlhr helicopter transfer flying totally different experience back day age budget airline nostalgia aside british airways best airline ive flown,A320,Solo Leisure,Economy Class,Palma to Gatwick,Jan-23,yes
60,60,husband flying madrid 3rd february legal matter madrid 1300 pm booked flight car ba holidays unfortunately chose parking never used got lost missed 600 flight madrid tried stay calm cold head went british airways get help first lady spoke asked done booking ba holidays didnt know gave us number call told us couldnt anything else call number called number asking us call another number message opening hours 8 till 4 pm went back lady explained couldnt wait 8 told us could anything reach another staff lovely young lady called althea started look made several calls went check someone else office managed get someone send text message call got answered lovely lady line modified booking place us following flight 730 didnt charge us car reservation flight back maintained made madrid without support lovely althea professionalism care us would make sweet caring time determined help sure went beyond role responsibilities,Null,Family Leisure,Economy Class,London to Madrid,Feb-23,yes
61,61,organised boarding process really friendly crew quick drink snack great experience crew credit ba best crew europe,A320,Business,Economy Class,London Heathrow to Glasgow,Jan-23,yes
62,62,outward journey ba245 london buenos aires club world 10 january 2023 experience poor beginning end although reserved seats 11f 12j another passenger occupying 11f crew made attempt address problem eventually persuaded passenger move occupy designated seat 11d boarded punctually offered drinks asked drink crew member said late blamed seating problem crew member began taking orders dinner write gave minutes safety briefing asked us repeat orders later hot flannels smelled musty felt old ragged one crew wondered aloud whether companion related soup cold told served flasks explanation excuse coffee weak tasted like instant granules companion initially served bread roll dinner breakfast menu stated selection rollspastries choice companion given dried fruit pastry would chosen bread roll although previously asked offered supplied seat small bottles water ran return journey ba244 buenos aires london heathrow world traveller plus 26 january 2023 huge contrast warm welcome boarding crew’s professionalism throughout it’s poor reflection club world service experience world traveller plus much better kinder weighed advantages flat bed considerable price difference worth paying catalogue errors inconveniences outlined,Null,Couple Leisure,Premium Economy,London to Buenos Aires,Jan-23,no
63,63,check agent lhr helpful friendly flight crew seat comfortable good leg room however food poor barely better economy class poor quality limited selection wine flight entertainment selections we’re limited far inferior ba used offer overall premium economy product disappointing poor value money,Boeing 777-300,Solo Leisure,Premium Economy,London to Vancouver,Jan-23,no
